<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
100323;000000;2270.4800000;2283.1100000;2266.3300000;2276.2500000;28097816323
130323;000000;2281.5500000;2289.6900000;2250.1500000;2269.4700000;40445810325
140323;000000;2266.1900000;2290.3200000;2261.6800000;2290.3200000;37135531491
150323;000000;2287.3200000;2295.0300000;2257.0000000;2262.0700000;40809425471
160323;000000;2262.1100000;2269.0100000;2236.8400000;2258.2200000;35560730941
170323;000000;2286.8400000;2322.7800000;2275.6100000;2322.7800000;107263984487
200323;000000;2336.8800000;2397.1600000;2332.9300000;2397.1600000;83986143698
210323;000000;2417.2500000;2430.9800000;2383.3900000;2398.1500000;74614656769
220323;000000;2381.9700000;2398.7300000;2374.5500000;2393.8800000;34024715367
230323;000000;2386.7000000;2396.5000000;2379.8900000;2388.3500000;23566300786
240323;000000;2386.5300000;2394.0200000;2384.2900000;2391.5300000;20814825590
270323;000000;2402.9800000;2440.6800000;2402.9800000;2440.6800000;47052325706
280323;000000;2454.2900000;2458.1900000;2421.4500000;2442.1900000;41603005974
290323;000000;2450.9000000;2468.3600000;2437.5500000;2460.8700000;45229573220
300323;000000;2458.9500000;2467.9200000;2450.4800000;2465.9300000;29531347225
310323;000000;2470.8700000;2472.4900000;2424.5300000;2450.6700000;49089402690
030423;000000;2474.1700000;2482.3600000;2463.1200000;2473.3200000;48014232149
040423;000000;2483.9800000;2511.4200000;2479.3000000;2480.4500000;61407455139
050423;000000;2489.1800000;2500.8000000;2465.9400000;2500.8000000;46244692124
060423;000000;2505.1800000;2521.6500000;2498.3000000;2498.3000000;43297539433
070423;000000;2505.2200000;2511.8400000;2491.3700000;2508.3900000;28843962457
100423;000000;2524.6700000;2548.2900000;2523.7500000;2547.3500000;50841711389
110423;000000;2560.8500000;2577.5100000;2515.8600000;2533.6900000;82268930975
120423;000000;2541.5600000;2554.7200000;2520.8500000;2538.4700000;39168843510
130423;000000;2548.0900000;2557.5300000;2528.0900000;2544.2800000;31258335524
140423;000000;2546.9900000;2554.8500000;2532.4400000;2554.8500000;33676565245
170423;000000;2574.3900000;2596.4500000;2573.5300000;2596.1100000;48560918815
180423;000000;2601.2100000;2615.6200000;2586.0800000;2615.6200000;55249674630
190423;000000;2617.8600000;2629.0000000;2585.0900000;2606.5500000;75020244489
200423;000000;2601.3900000;2640.7400000;2565.8600000;2637.8500000;75911887213
210423;000000;2641.1200000;2648.0400000;2627.0700000;2639.9500000;57083090956
240423;000000;2636.6200000;2651.8000000;2613.3200000;2635.4300000;39680536211
250423;000000;2639.6700000;2642.1200000;2619.6700000;2626.8600000;32139753095
260423;000000;2626.4800000;2631.1300000;2615.0700000;2620.3300000;31881502828
270423;000000;2620.4700000;2646.1800000;2617.0900000;2646.1800000;58503382739
280423;000000;2655.1100000;2657.8700000;2608.2200000;2634.9400000;51014349112
020523;000000;2623.5300000;2635.4600000;2560.3400000;2580.5100000;63571453482
030523;000000;2583.4900000;2586.1700000;2532.4200000;2532.4200000;54333011984
040523;000000;2525.3100000;2547.2000000;2524.4800000;2524.5100000;38603468575
050523;000000;2543.5100000;2555.3900000;2529.1300000;2538.2400000;35390636905
080523;000000;2530.0900000;2538.1400000;2513.8400000;2527.5900000;20296813175
100523;000000;2485.1600000;2556.6700000;2483.7900000;2548.6300000;70614546833
110523;000000;2573.6400000;2610.6200000;2568.0100000;2595.1200000;74521454496
120523;000000;2574.3100000;2584.9100000;2552.1800000;2565.1700000;37550187226
150523;000000;2586.6400000;2611.7100000;2586.4300000;2611.0700000;43805689325
160523;000000;2645.9400000;2655.7300000;2621.6700000;2633.7100000;42565254976
170523;000000;2635.8500000;2646.3900000;2623.3100000;2634.4800000;38839336197
180523;000000;2650.1200000;2658.5700000;2624.6400000;2632.9100000;59341064377
190523;000000;2627.0000000;2635.8000000;2612.4700000;2626.1600000;58832351511
220523;000000;2648.3000000;2652.5900000;2622.4300000;2633.2600000;47570581512
230523;000000;2641.0500000;2647.1800000;2607.6600000;2641.6600000;71916771187
240523;000000;2643.7300000;2659.6800000;2626.5800000;2654.9900000;71733180049
250523;000000;2663.2300000;2663.4400000;2631.1500000;2649.9800000;66738646197
260523;000000;2649.0800000;2684.9300000;2646.0300000;2682.0300000;52452029231
290523;000000;2699.0100000;2732.0000000;2697.9800000;2732.0000000;66031634414
300523;000000;2707.4000000;2748.6000000;2687.9200000;2698.7500000;89807660752
310523;000000;2696.3000000;2718.2000000;2676.3500000;2717.6400000;58173813205
010623;000000;2720.2100000;2729.9600000;2709.4600000;2721.7300000;43377473008
020623;000000;2686.1100000;2720.4700000;2686.1100000;2719.4800000;66616353574
050623;000000;2725.6000000;2738.8200000;2679.3500000;2694.1400000;76205985176
060623;000000;2664.7000000;2687.3200000;2628.5600000;2681.2500000;76194989866
070623;000000;2691.7000000;2711.5800000;2674.1100000;2694.6900000;55832873542
080623;000000;2692.2200000;2709.6900000;2688.5700000;2709.6900000;38203684509
090623;000000;2717.2000000;2721.8000000;2705.3400000;2708.0400000;39169455728
130623;000000;2715.1500000;2757.2800000;2715.1500000;2757.2800000;52291980996
140623;000000;2777.2000000;2786.0100000;2758.5400000;2765.1800000;59287769478
150623;000000;2777.1300000;2809.2800000;2765.0700000;2800.1700000;70568806458
160623;000000;2810.9200000;2813.4700000;2783.7100000;2800.7900000;46022982702
190623;000000;2811.3600000;2816.4500000;2783.8400000;2815.0700000;67308368555
200623;000000;2809.5300000;2814.6600000;2778.0600000;2803.6900000;57096131910
210623;000000;2808.8700000;2821.8000000;2794.7600000;2819.3000000;45205431258
220623;000000;2814.8100000;2820.3500000;2806.0300000;2815.8300000;34334230821
230623;000000;2789.2600000;2795.0600000;2768.0400000;2795.0600000;44086311591
260623;000000;2771.7100000;2784.2200000;2741.3300000;2757.1300000;55596874090
270623;000000;2761.4700000;2785.2900000;2743.0700000;2776.6300000;54190820087
280623;000000;2781.1000000;2787.3100000;2766.9300000;2780.9200000;50141219886
290623;000000;2789.4500000;2804.7200000;2783.5600000;2796.4100000;45222184553
300623;000000;2796.0000000;2800.0600000;2779.7600000;2797.3700000;43870740201
030723;000000;2795.6200000;2804.8300000;2790.8900000;2793.9300000;53395751975
040723;000000;2797.6000000;2808.2200000;2776.8100000;2808.2200000;49955467541
050723;000000;2798.3800000;2813.7600000;2795.7900000;2805.0000000;40825810980
060723;000000;2820.0100000;2837.4800000;2813.3800000;2819.6000000;48906814556
070723;000000;2822.8100000;2832.7200000;2814.3800000;2832.5100000;35160561058
100723;000000;2838.8500000;2864.0000000;2838.5200000;2856.7600000;87903252401
110723;000000;2865.8700000;2867.3500000;2851.0700000;2860.3300000;54521425442
120723;000000;2872.4300000;2897.2500000;2872.2600000;2896.8300000;49167579490
130723;000000;2901.8900000;2912.1000000;2873.0000000;2885.6300000;49766396041
140723;000000;2881.9000000;2902.7200000;2874.6000000;2902.7200000;39932601517
170723;000000;2889.0900000;2917.7100000;2880.9000000;2917.6100000;53330316035
180723;000000;2923.4900000;2955.7100000;2922.8400000;2954.5200000;77149081153
190723;000000;2958.7700000;2966.6600000;2938.7400000;2943.4300000;58680382563
200723;000000;2947.0800000;2947.0800000;2905.0500000;2917.4800000;61365410713
210723;000000;2890.4500000;2925.5400000;2889.7800000;2923.5400000;45159749522
240723;000000;2929.5800000;2947.1000000;2925.5900000;2937.4700000;44182037025
250723;000000;2948.8700000;2975.3600000;2943.8600000;2975.3600000;53238260846
260723;000000;2974.2100000;2982.3500000;2954.9800000;2970.4200000;56824952405
270723;000000;2976.4200000;2992.4500000;2976.4200000;2987.8500000;61945566786
280723;000000;2984.2000000;3008.6100000;2978.1300000;3008.6100000;51960710325
310723;000000;3027.3000000;3073.5000000;3027.3000000;3073.5000000;97173252289
010823;000000;3086.3900000;3114.4800000;3055.4500000;3093.6400000;103388406381
020823;000000;3095.4700000;3123.3800000;3080.6900000;3106.4600000;67943935665
030823;000000;3110.8900000;3150.2100000;3094.3300000;3147.8000000;90807715204
040823;000000;3158.5300000;3194.8300000;3074.0800000;3092.4400000;150935161509
070823;000000;3120.5400000;3153.4900000;3084.0800000;3084.0800000;72392999373
080823;000000;3076.5900000;3092.5200000;3026.9300000;3085.3100000;76033695593
090823;000000;3106.3500000;3120.0600000;3084.1500000;3099.5200000;52674682438
100823;000000;3122.9000000;3148.8600000;3115.8900000;3148.8600000;76140596961
