<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
020523;000000;4680.0000000;4705.0000000;4552.0000000;4581.0000000;856170
030523;000000;4580.5000000;4638.0000000;4491.0000000;4508.5000000;1106871
040523;000000;4522.0000000;4564.5000000;4512.5000000;4547.5000000;490588
050523;000000;4547.5000000;4557.5000000;4501.5000000;4509.0000000;433125
080523;000000;4525.0000000;4599.5000000;4517.5000000;4564.5000000;362489
100523;000000;4560.0000000;4716.0000000;4559.0000000;4716.0000000;1002893
110523;000000;4725.0000000;4849.5000000;4681.0000000;4788.5000000;2367149
120523;000000;4800.5000000;4842.5000000;4751.0000000;4819.0000000;971091
150523;000000;4840.0000000;5055.0000000;4838.0000000;5045.5000000;1869815
160523;000000;5065.0000000;5120.0000000;5020.5000000;5086.0000000;1482216
170523;000000;5094.5000000;5120.0000000;5060.5000000;5097.0000000;690693
180523;000000;5111.0000000;5120.0000000;5070.0000000;5075.0000000;663024
190523;000000;5070.0000000;5078.5000000;5013.0000000;5078.5000000;668952
220523;000000;5110.5000000;5116.0000000;5057.0000000;5090.0000000;465301
230523;000000;5094.0000000;5174.0000000;5065.0000000;5173.0000000;929688
240523;000000;5183.0000000;5215.0000000;5142.0000000;5192.0000000;951502
250523;000000;5197.0000000;5209.0000000;5160.5000000;5203.5000000;858188
260523;000000;5206.0000000;5298.5000000;5203.0000000;5296.5000000;977901
290523;000000;5341.5000000;5547.5000000;5332.0000000;5538.5000000;2208293
300523;000000;5515.0000000;5698.5000000;5461.5000000;5530.0000000;2575463
310523;000000;5562.0000000;5594.0000000;5505.0000000;5569.0000000;1113532
010623;000000;5570.0000000;5685.0000000;5540.0000000;5684.0000000;1757523
020623;000000;5304.0000000;5454.0000000;5302.0000000;5383.0000000;3158627
050623;000000;5401.0000000;5420.0000000;5155.5000000;5166.5000000;2086409
060623;000000;5149.5000000;5175.5000000;4962.5000000;5149.5000000;2192664
070623;000000;5163.0000000;5164.0000000;5073.0000000;5101.0000000;931379
080623;000000;5100.5000000;5111.0000000;5041.0000000;5065.0000000;738843
090623;000000;5082.5000000;5112.5000000;5070.0000000;5077.0000000;520710
130623;000000;5093.0000000;5265.5000000;5077.0000000;5264.0000000;1374037
140623;000000;5298.5000000;5324.0000000;5205.5000000;5246.0000000;918065
150623;000000;5251.5000000;5319.5000000;5226.0000000;5302.5000000;1055627
160623;000000;5309.5000000;5330.0000000;5243.5000000;5260.5000000;570111
190623;000000;5261.5000000;5297.5000000;5177.0000000;5194.0000000;771084
200623;000000;5190.5000000;5194.0000000;5081.0000000;5150.5000000;976876
210623;000000;5152.5000000;5166.5000000;5110.0000000;5125.0000000;644720
220623;000000;5130.0000000;5189.0000000;5103.0000000;5137.0000000;603024
230623;000000;5125.5000000;5145.0000000;5004.0000000;5030.0000000;1067154
260623;000000;5099.5000000;5114.0000000;4965.0000000;5048.5000000;1174443
270623;000000;5074.0000000;5158.5000000;5031.0000000;5138.0000000;923731
280623;000000;5149.5000000;5155.0000000;5082.0000000;5108.0000000;700255
290623;000000;5116.0000000;5150.0000000;5096.0000000;5124.0000000;740811
300623;000000;5127.0000000;5139.0000000;5063.0000000;5079.0000000;711187
030723;000000;5099.0000000;5123.0000000;5080.0000000;5095.5000000;637606
040723;000000;5106.5000000;5260.0000000;5082.0000000;5209.0000000;1467137
050723;000000;5226.0000000;5311.0000000;5221.5000000;5298.5000000;1207873
060723;000000;5319.5000000;5390.0000000;5304.0000000;5347.0000000;1403719
070723;000000;5361.5000000;5446.5000000;5326.0000000;5439.5000000;1298195
100723;000000;5471.5000000;5505.5000000;5404.0000000;5436.0000000;1091876
110723;000000;5440.5000000;5449.5000000;5366.5000000;5439.0000000;688962
120723;000000;5441.0000000;5535.0000000;5377.5000000;5500.0000000;1228622
130723;000000;5530.5000000;5549.5000000;5461.0000000;5498.0000000;719054
140723;000000;5487.0000000;5550.0000000;5450.0000000;5514.0000000;790875
170723;000000;5493.5000000;5535.0000000;5462.5000000;5503.0000000;765441
180723;000000;5514.0000000;5585.0000000;5481.0000000;5537.5000000;1149679
190723;000000;5544.0000000;5568.0000000;5495.0000000;5518.0000000;609703
200723;000000;5520.0000000;5520.0000000;5381.0000000;5394.0000000;863112
210723;000000;5410.0000000;5505.0000000;5397.5000000;5505.0000000;642507
240723;000000;5507.5000000;5554.0000000;5491.0000000;5545.5000000;624794
250723;000000;5555.0000000;5649.5000000;5532.5000000;5633.5000000;1220953
260723;000000;5636.0000000;5665.5000000;5591.0000000;5626.0000000;762508
270723;000000;5637.5000000;5678.0000000;5637.5000000;5668.0000000;632629
280723;000000;5678.0000000;5917.0000000;5654.5000000;5896.0000000;1865130
310723;000000;5952.5000000;5999.5000000;5905.5000000;5938.0000000;1547638
010823;000000;5942.0000000;6049.0000000;5883.0000000;6008.0000000;1340576
020823;000000;6007.5000000;6123.0000000;5960.0000000;6069.5000000;1314265
030823;000000;6065.0000000;6168.0000000;6040.0000000;6155.0000000;997755
040823;000000;6169.0000000;6270.0000000;5951.5000000;6103.0000000;2840065
070823;000000;6176.5000000;6210.0000000;5975.0000000;6048.5000000;1406905
080823;000000;6038.5000000;6135.0000000;5925.0000000;6124.5000000;1552189
090823;000000;6129.5000000;6185.0000000;6073.0000000;6171.5000000;940039
100823;000000;6181.5000000;6258.0000000;6155.0000000;6252.0000000;1019541
110823;000000;6265.0000000;6287.0000000;6205.0000000;6284.5000000;787628
140823;000000;6321.5000000;6428.0000000;6011.5000000;6127.5000000;3030481
150823;000000;6087.5000000;6290.0000000;6008.0000000;6131.5000000;2268788
160823;000000;6156.0000000;6198.0000000;5990.5000000;6094.5000000;1989505
170823;000000;6160.0000000;6167.0000000;6062.0000000;6162.0000000;890393
180823;000000;6166.0000000;6285.0000000;6122.5000000;6277.5000000;916052
210823;000000;6294.5000000;6338.0000000;6237.0000000;6265.5000000;1187071
220823;000000;6265.5000000;6677.0000000;6216.5000000;6606.5000000;5302103
230823;000000;6632.0000000;6654.0000000;6364.0000000;6412.5000000;2937766
240823;000000;6492.0000000;6571.5000000;6432.0000000;6561.5000000;1227840
250823;000000;6563.5000000;6592.5000000;6513.5000000;6566.0000000;761542
280823;000000;6574.5000000;6665.0000000;6560.0000000;6662.0000000;909964
290823;000000;6670.0000000;6780.0000000;6636.0000000;6779.5000000;1936444
300823;000000;6788.5000000;6900.0000000;6760.0000000;6837.0000000;2161540
310823;000000;6858.0000000;6875.0000000;6788.0000000;6830.0000000;821065
010923;000000;6839.0000000;6848.0000000;6784.0000000;6819.0000000;708296
040923;000000;6844.5000000;6870.0000000;6825.0000000;6850.0000000;654846
050923;000000;6860.0000000;6940.0000000;6847.0000000;6916.0000000;1187607
060923;000000;6915.0000000;6916.0000000;6832.5000000;6867.5000000;762146
070923;000000;6859.5000000;6880.0000000;6571.5000000;6666.5000000;2275417
080923;000000;6665.0000000;6724.0000000;6533.0000000;6625.0000000;1323022
110923;000000;6624.5000000;6625.0000000;6435.0000000;6456.0000000;1299088
120923;000000;6500.0000000;6730.0000000;6480.0000000;6729.0000000;1534355
130923;000000;6737.0000000;6739.0000000;6576.0000000;6610.0000000;1121990
140923;000000;6610.0000000;6633.0000000;6346.0000000;6519.0000000;2070981
150923;000000;6519.0000000;6609.0000000;6501.0000000;6553.0000000;1220398
180923;000000;6595.5000000;6655.0000000;6476.0000000;6526.0000000;916073
190923;000000;6525.0000000;6560.0000000;6326.5000000;6344.0000000;1528284
200923;000000;6350.0000000;6499.0000000;6280.0000000;6423.0000000;1866665
210923;000000;6402.5000000;6428.0000000;6350.0000000;6379.0000000;1460955
220923;000000;6395.0000000;6517.0000000;6305.0000000;6495.0000000;1112302
250923;000000;6500.5000000;6525.0000000;6426.0000000;6449.0000000;690080
260923;000000;6429.5000000;6438.0000000;6322.0000000;6386.0000000;938984
270923;000000;6412.0000000;6500.0000000;6404.5000000;6490.0000000;729486
280923;000000;6502.0000000;6645.5000000;6501.5000000;6645.5000000;985054
290923;000000;6649.5000000;6700.0000000;6603.5000000;6677.0000000;956728
021023;000000;6716.0000000;6797.5000000;6658.5000000;6720.0000000;1106576
031023;000000;6720.0000000;6784.0000000;6636.5000000;6754.5000000;952569
041023;000000;6739.0000000;6815.0000000;6659.5000000;6660.5000000;903629
051023;000000;6701.0000000;6759.5000000;6645.0000000;6721.5000000;737042
061023;000000;6745.0000000;6797.0000000;6717.0000000;6797.0000000;783900
091023;000000;6879.5000000;6895.5000000;6822.0000000;6863.5000000;1093299
101023;000000;6870.0000000;6880.0000000;6822.5000000;6853.5000000;550356
111023;000000;6860.5000000;7099.5000000;6835.5000000;6890.5000000;3465866
121023;000000;6862.0000000;7154.0000000;6848.0000000;7120.0000000;2709703
131023;000000;7143.0000000;7250.0000000;7136.0000000;7244.0000000;1670853
161023;000000;7274.5000000;7349.0000000;7234.5000000;7335.0000000;1462218
171023;000000;7345.0000000;7394.0000000;7264.0000000;7384.5000000;1629120
181023;000000;7399.0000000;7535.0000000;7365.0000000;7488.0000000;2582611
191023;000000;7483.0000000;7495.0000000;7416.5000000;7486.0000000;979245
201023;000000;7495.0000000;7509.5000000;7405.0000000;7491.5000000;980821
231023;000000;7510.5000000;7549.0000000;7452.5000000;7462.5000000;855125
241023;000000;7472.5000000;7487.5000000;7417.0000000;7444.0000000;817175
251023;000000;7430.0000000;7444.0000000;7207.0000000;7437.5000000;1315853
261023;000000;7453.5000000;7498.0000000;7211.0000000;7228.5000000;2891242
271023;000000;7225.5000000;7338.0000000;7136.5000000;7318.0000000;1807918
301023;000000;7299.0000000;7315.0000000;7228.0000000;7248.0000000;763508
311023;000000;7238.5000000;7264.0000000;7107.0000000;7150.5000000;1019828
011123;000000;7155.0000000;7266.0000000;7130.5000000;7240.0000000;610140
021123;000000;7251.5000000;7292.0000000;7217.0000000;7253.5000000;476815
031123;000000;7258.0000000;7278.0000000;7210.5000000;7238.0000000;364260
061123;000000;7243.0000000;7387.5000000;7221.0000000;7376.0000000;641531
071123;000000;7370.0000000;7380.0000000;7295.5000000;7333.5000000;592820
081123;000000;7341.0000000;7373.0000000;7277.0000000;7295.0000000;578796
091123;000000;7290.5000000;7307.0000000;7221.0000000;7260.0000000;585245
101123;000000;7265.0000000;7304.5000000;7238.5000000;7288.5000000;496387
131123;000000;7295.5000000;7325.0000000;7270.0000000;7277.5000000;441753
141123;000000;7282.5000000;7285.0000000;7165.0000000;7200.0000000;610832
151123;000000;7183.5000000;7257.0000000;7138.0000000;7224.0000000;606927
161123;000000;7220.5000000;7236.0000000;7120.5000000;7135.5000000;555267
171123;000000;7135.0000000;7234.0000000;7080.5000000;7225.5000000;762755
201123;000000;7225.5000000;7226.0000000;7161.0000000;7194.5000000;422161
