<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
160223;000000;14598.0000000;14738.0000000;14316.0000000;14398.0000000;87109
170223;000000;14348.0000000;14510.0000000;14282.0000000;14478.0000000;52698
200223;000000;14476.0000000;14628.0000000;14260.0000000;14540.0000000;59697
210223;000000;14564.0000000;14730.0000000;14534.0000000;14710.0000000;51466
220223;000000;14740.0000000;14792.0000000;14444.0000000;14474.0000000;62895
240223;000000;14470.0000000;14530.0000000;14350.0000000;14390.0000000;51402
270223;000000;14370.0000000;14598.0000000;14318.0000000;14578.0000000;64432
280223;000000;14626.0000000;14628.0000000;14418.0000000;14498.0000000;50460
010323;000000;14522.0000000;14800.0000000;14462.0000000;14734.0000000;77352
020323;000000;14718.0000000;14734.0000000;14460.0000000;14510.0000000;68325
030323;000000;14512.0000000;14584.0000000;14450.0000000;14562.0000000;32753
060323;000000;14596.0000000;14650.0000000;14500.0000000;14560.0000000;67178
070323;000000;14570.0000000;14784.0000000;14522.0000000;14676.0000000;75669
090323;000000;14676.0000000;14760.0000000;14502.0000000;14586.0000000;78091
100323;000000;14548.0000000;14660.0000000;14470.0000000;14576.0000000;43594
130323;000000;14620.0000000;14720.0000000;14504.0000000;14554.0000000;51286
140323;000000;14536.0000000;14608.0000000;14510.0000000;14556.0000000;40620
150323;000000;14558.0000000;14592.0000000;14370.0000000;14464.0000000;52674
160323;000000;14470.0000000;14536.0000000;14300.0000000;14442.0000000;78802
170323;000000;14490.0000000;14616.0000000;14334.0000000;14560.0000000;82825
200323;000000;14576.0000000;15044.0000000;14482.0000000;15044.0000000;148481
210323;000000;15046.0000000;15108.0000000;14812.0000000;14864.0000000;80531
220323;000000;14862.0000000;15020.0000000;14750.0000000;14970.0000000;60248
230323;000000;14984.0000000;15040.0000000;14900.0000000;14932.0000000;51896
240323;000000;14926.0000000;15096.0000000;14910.0000000;15080.0000000;57760
270323;000000;15094.0000000;15200.0000000;15090.0000000;15184.0000000;70365
280323;000000;15208.0000000;15290.0000000;15102.0000000;15186.0000000;52863
290323;000000;15190.0000000;15206.0000000;14902.0000000;15084.0000000;82763
300323;000000;15080.0000000;15080.0000000;14904.0000000;15024.0000000;45100
310323;000000;15050.0000000;15056.0000000;14910.0000000;15010.0000000;48243
030423;000000;15030.0000000;15150.0000000;15030.0000000;15084.0000000;61102
040423;000000;15108.0000000;15350.0000000;15086.0000000;15214.0000000;97066
050423;000000;15222.0000000;15240.0000000;15050.0000000;15200.0000000;62986
060423;000000;15202.0000000;15488.0000000;15200.0000000;15380.0000000;119759
070423;000000;15446.0000000;15480.0000000;15350.0000000;15430.0000000;61211
100423;000000;15462.0000000;15606.0000000;15400.0000000;15500.0000000;80511
110423;000000;15546.0000000;15672.0000000;15314.0000000;15360.0000000;107927
120423;000000;15358.0000000;15476.0000000;15180.0000000;15404.0000000;69451
130423;000000;15412.0000000;15476.0000000;15308.0000000;15404.0000000;47929
