<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030323;000000;168.2000000;171.2600000;167.9000000;171.1600000;49424990
060323;000000;172.1300000;172.9900000;171.3500000;171.8400000;64237540
070323;000000;171.8700000;174.2000000;171.0000000;174.0100000;55231190
090323;000000;174.8500000;174.8900000;172.2100000;172.5500000;79748090
100323;000000;171.7100000;173.0000000;170.5800000;172.5300000;49778720
130323;000000;172.5300000;173.9000000;169.2600000;172.1500000;73298080
140323;000000;171.6500000;176.9500000;171.0100000;175.7100000;89212040
150323;000000;176.0000000;177.3700000;173.5900000;175.3000000;79838900
160323;000000;174.9000000;176.0400000;173.3600000;175.4500000;51345380
170323;000000;183.0200000;193.6600000;178.5600000;193.5900000;384905230
200323;000000;196.0300000;205.0900000;195.0000000;203.7300000;155827740
210323;000000;204.7500000;208.0000000;201.2500000;203.3200000;122268990
220323;000000;203.4100000;204.4000000;201.5900000;202.8900000;57464560
230323;000000;202.5500000;204.2000000;202.2200000;202.5800000;26484020
240323;000000;202.8500000;203.8500000;202.0000000;203.5700000;24297290
270323;000000;204.0200000;213.2000000;204.0100000;211.8400000;101348890
280323;000000;212.8500000;214.7000000;210.6700000;214.0300000;73669280
290323;000000;214.8600000;219.5300000;213.6000000;217.9900000;96549640
300323;000000;217.3400000;218.4500000;216.1200000;216.8700000;40737550
310323;000000;217.2000000;217.3500000;211.3000000;216.6000000;88023190
030423;000000;218.4500000;219.4400000;214.8000000;216.0900000;54788980
040423;000000;216.2000000;217.2900000;213.8000000;214.8300000;45747250
050423;000000;214.6900000;216.3000000;211.4000000;216.1500000;46127960
060423;000000;216.3000000;217.3800000;214.0700000;214.2500000;38993420
070423;000000;214.5000000;216.3900000;213.6500000;216.2700000;29157060
100423;000000;217.1000000;222.2600000;216.6100000;222.2100000;84958930
110423;000000;222.9000000;223.3300000;217.6200000;218.6000000;98349200
120423;000000;218.6200000;219.7000000;216.6700000;219.2200000;44633200
130423;000000;219.4100000;220.8900000;218.0000000;219.8500000;32580550
140423;000000;219.9900000;222.5000000;218.5100000;221.8700000;43248810
170423;000000;222.9700000;228.2000000;222.9100000;228.1000000;78562510
180423;000000;227.8900000;232.7600000;227.0500000;232.6600000;97459980
190423;000000;232.6700000;237.3700000;231.1000000;232.9500000;115494020
200423;000000;233.3200000;236.4700000;229.8400000;236.2800000;85046740
210423;000000;237.4000000;238.8500000;233.5200000;235.1700000;115606560
240423;000000;235.0900000;236.4000000;234.1000000;235.1000000;30405040
250423;000000;235.1600000;235.8200000;234.2100000;235.3000000;32063750
260423;000000;235.5500000;235.9500000;234.9100000;235.2100000;24351620
270423;000000;235.5100000;240.7400000;235.1300000;240.3800000;68224840
280423;000000;240.8600000;241.5800000;237.6600000;240.3800000;49494960
020523;000000;242.2000000;245.0000000;237.4000000;242.6200000;83246880
030523;000000;242.8500000;242.9900000;234.0000000;235.7700000;76740930
040523;000000;236.5100000;239.7400000;236.0500000;238.8900000;53006840
050523;000000;239.1900000;240.6600000;237.3000000;237.7000000;61314710
080523;000000;238.6500000;239.8600000;237.3600000;238.2700000;47676110
100523;000000;216.5100000;227.5000000;215.7000000;227.0600000;154134860
110523;000000;228.5700000;235.3800000;223.9400000;229.3200000;197037380
120523;000000;231.0500000;232.4700000;226.1500000;229.2900000;69831820
150523;000000;230.5400000;231.7500000;228.5200000;231.7000000;48873370
160523;000000;232.4000000;232.8600000;229.5700000;230.6200000;36429340
170523;000000;229.8600000;230.9700000;228.7500000;230.5500000;31635370
180523;000000;231.7200000;234.4900000;230.7200000;231.7000000;55909060
190523;000000;230.9800000;232.3000000;229.8100000;231.2700000;31540330
220523;000000;232.2000000;232.7800000;230.0000000;231.0000000;26351890
230523;000000;231.2400000;237.2900000;230.2100000;236.4300000;62996030
240523;000000;237.4900000;246.1300000;236.2600000;246.0600000;85850770
250523;000000;246.1100000;247.4000000;242.6500000;243.7600000;70582820
260523;000000;243.4900000;249.6400000;242.8100000;248.1000000;69113640
290523;000000;249.7700000;252.5900000;248.8500000;251.1800000;67591330
300523;000000;248.8400000;250.8500000;243.8000000;244.6500000;82871290
310523;000000;244.0000000;247.1800000;240.2700000;246.1700000;72797140
010623;000000;247.0000000;247.0000000;240.5700000;241.6600000;51897410
020623;000000;242.0100000;245.5000000;240.7700000;243.9500000;46465000
050623;000000;243.5100000;244.1500000;235.1000000;237.1200000;78650640
060623;000000;236.0000000;242.1000000;232.5400000;240.9100000;100337100
070623;000000;241.2300000;244.3900000;238.5600000;241.2500000;63082450
080623;000000;241.3000000;242.7800000;239.5500000;241.7700000;29851820
090623;000000;242.7900000;243.0000000;240.1100000;240.4000000;27458600
130623;000000;241.5100000;244.5000000;240.6300000;244.3300000;40478120
140623;000000;245.7000000;247.6800000;242.8000000;244.6000000;51810860
150623;000000;245.1200000;245.9400000;243.2200000;245.1800000;40015310
160623;000000;245.5000000;245.9000000;243.7000000;243.8700000;23311220
190623;000000;244.4600000;244.6900000;241.3200000;242.2800000;29777860
200623;000000;241.9500000;242.2200000;238.8200000;241.7400000;36578050
210623;000000;241.9000000;243.9200000;240.6000000;242.2000000;26644780
220623;000000;242.1000000;242.8000000;240.1300000;240.6600000;23093570
230623;000000;239.9600000;240.9900000;234.3400000;235.6700000;61661860
260623;000000;239.6000000;240.5000000;233.4000000;238.4000000;81032100
270623;000000;239.0200000;242.3400000;236.8000000;241.2100000;51321260
280623;000000;241.8000000;241.8000000;238.6000000;239.6700000;28217550
290623;000000;239.7500000;241.2600000;239.0200000;239.9900000;28077670
300623;000000;240.0000000;240.6800000;238.3600000;239.6100000;24011230
